capture_id,sample_id,bmi323_x_G,bmi323_y_G,bmi323_z_G,adxl375_x_G,adxl375_y_G,adxl375_z_G
2,19,0.031502,0.028571,-0.997070,0.392000,0.294000,-1.323000
2,20,0.031258,0.028327,-0.996825,0.441000,0.294000,-1.323000
2,21,0.030037,0.027595,-0.998291,0.392000,0.343000,-1.470000
2,22,0.031013,0.026740,-0.995971,0.343000,0.343000,-1.421000
2,23,0.030281,0.027839,-0.995482,0.441000,0.343000,-1.372000
2,24,0.030159,0.027961,-0.997558,0.490000,0.245000,-1.323000
2,25,0.030403,0.027961,-0.997070,0.343000,0.343000,-1.421000
2,26,0.030159,0.028083,-0.996581,0.392000,0.294000,-1.372000
2,27,0.031013,0.027106,-0.996459,0.392000,0.294000,-1.470000
2,28,0.031013,0.025397,-0.995726,0.441000,0.245000,-1.274000
2,29,0.031013,0.027473,-0.996825,0.441000,0.245000,-1.372000
2,30,0.031624,0.028083,-0.999145,0.441000,0.294000,-1.372000
2,31,0.030769,0.027228,-0.994505,0.392000,0.392000,-1.421000
2,32,0.030891,0.028449,-0.995849,0.441000,0.294000,-1.372000
2,33,0.031624,0.029182,-0.997680,0.343000,0.392000,-1.323000
2,34,0.031136,0.028449,-0.997558,0.343000,0.343000,-1.617000
2,35,0.031746,0.027961,-0.998291,0.441000,0.343000,-1.421000
2,36,0.031746,0.028205,-0.997314,0.441000,0.343000,-1.421000
2,37,0.030769,0.028449,-0.997924,0.441000,0.245000,-1.372000
2,38,0.031746,0.026984,-0.994872,0.490000,0.343000,-1.421000
2,39,0.030281,0.027106,-0.995482,0.441000,0.343000,-1.421000
2,40,0.030769,0.026496,-0.997314,0.441000,0.245000,-1.470000
2,41,0.030769,0.026862,-0.994994,0.441000,0.294000,-1.421000
2,42,0.030037,0.026374,-0.996459,0.343000,0.343000,-1.323000
2,43,0.031013,0.026862,-0.998535,0.392000,0.294000,-1.470000
2,44,0.031136,0.026740,-0.997680,0.392000,0.392000,-1.323000
2,45,0.030281,0.028327,-0.997070,0.392000,0.294000,-1.470000
2,46,0.030037,0.028449,-0.995971,0.441000,0.294000,-1.421000
2,47,0.030037,0.025885,-0.996459,0.441000,0.245000,-1.519000
2,48,0.030525,0.028327,-0.995604,0.392000,0.294000,-1.421000
2,49,0.031502,0.027595,-0.997314,0.441000,0.343000,-1.372000
2,50,0.030647,0.028694,-0.998291,0.441000,0.245000,-1.470000
2,51,0.030403,0.026374,-0.997070,0.392000,0.294000,-1.372000
2,52,0.030525,0.027106,-0.996215,0.441000,0.343000,-1.372000
2,53,0.030891,0.027350,-0.998046,0.490000,0.392000,-1.323000
2,54,0.031868,0.028205,-0.996459,0.441000,0.294000,-1.470000
2,55,0.029915,0.027473,-0.996703,0.343000,0.392000,-1.323000
2,56,0.030525,0.026740,-0.998901,0.343000,0.294000,-1.470000
2,57,0.031136,0.029426,-0.996215,0.441000,0.343000,-1.323000
2,58,0.029915,0.029304,-0.996947,0.490000,0.294000,-1.372000
2,59,0.031136,0.029304,-0.997558,0.392000,0.294000,-1.323000
2,60,0.030525,0.028083,-0.996093,0.343000,0.392000,-1.372000
2,61,0.030525,0.026984,-0.995482,0.490000,0.392000,-1.421000
2,62,0.030281,0.026618,-0.996947,0.441000,0.392000,-1.421000
2,63,0.030037,0.027228,-0.997070,0.441000,0.343000,-1.421000
2,64,0.030525,0.027228,-0.996703,0.392000,0.294000,-1.421000
2,65,0.031136,0.027839,-0.996581,0.441000,0.343000,-1.323000
2,66,0.030647,0.026496,-0.998168,0.392000,0.392000,-1.323000
2,67,0.031624,0.027717,-0.998168,0.392000,0.441000,-1.323000
2,68,0.031624,0.028205,-0.995849,0.392000,0.294000,-1.421000
2,69,0.030891,0.027106,-0.996703,0.441000,0.294000,-1.323000
2,70,0.031868,0.027106,-0.997314,0.441000,0.196000,-1.274000
2,71,0.029915,0.028571,-0.997680,0.441000,0.441000,-1.421000
