magic,size,crc16,status_flags,time_boot_ms,ms5607_pressure_mbar,ms5607_temperature_c,bmi323_accel_x,bmi323_accel_y,bmi323_accel_z,bmi323_gyro_x,bmi323_gyro_y,bmi323_gyro_z,adxl375_accel_x,adxl375_accel_y,adxl375_accel_z,bm1422_magn_x,bm1422_magn_y,bm1422_magn_z,gps_lat,gps_lng,gps_alt,gps_speed,gps_course,gps_num_sats
"COREYMAY3",98,45013,0,9487525,901.770020,52.730000,0.101954,0.065690,0.995604,0.182927,0.243902,-0.243902,0.490000,0.392000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,31058,0,9487535,901.770020,52.730000,0.097558,0.058852,1.010867,0.000000,0.182927,-0.853659,0.490000,0.343000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,61887,0,9487545,901.770020,52.730000,0.079976,0.059341,0.979609,-0.060976,0.182927,-0.731707,0.588000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,57717,0,9487555,901.739990,52.730000,0.099145,0.049328,1.001954,0.000000,0.121951,-0.609756,0.588000,0.343000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,43606,0,9487565,901.739990,52.730000,0.096825,0.067277,0.999145,0.121951,0.182927,-0.365854,0.539000,0.343000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,60214,0,9487575,901.739990,52.730000,0.068620,0.046520,0.986203,0.121951,0.182927,-0.365854,0.539000,0.392000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,6220,0,9487585,901.739990,52.730000,0.110501,0.084615,1.010012,0.060976,0.121951,-0.670732,0.637000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,51053,0,9487595,901.799988,52.730000,0.073138,0.050305,0.988767,-0.060976,0.121951,-0.792683,0.441000,0.343000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,11155,0,9487605,901.799988,52.730000,0.080586,0.049817,0.993162,-0.121951,0.121951,-0.426829,0.441000,0.343000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,58520,0,9487615,901.799988,52.730000,0.110867,0.069353,1.008059,0.000000,0.060976,0.121951,0.490000,0.294000,0.686000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,53830,0,9487625,901.799988,52.730000,0.064347,0.070330,0.985226,0.121951,0.121951,0.060976,0.539000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,5982,0,9487635,901.789978,52.730000,0.100122,0.073504,0.999878,0.000000,0.060976,-0.365854,0.441000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,52861,0,9487645,901.789978,52.730000,0.091331,0.064225,1.001832,-0.121951,0.060976,-0.792683,0.539000,0.392000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,12379,0,9487655,901.789978,52.730000,0.068620,0.058486,0.982173,-0.243902,0.000000,-0.670732,0.588000,0.294000,0.441000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,1673,0,9487665,901.789978,52.730000,0.086691,0.061050,1.001709,-0.121951,0.000000,0.000000,0.539000,0.343000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,26280,0,9487675,901.770020,52.730000,0.103541,0.076923,0.994139,0.000000,0.000000,0.548781,0.637000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
"COREYMAY3",98,63273,0,9487685,901.770020,52.730000,0.068376,0.059951,0.992552,0.000000,0.000000,0.548781,0.539000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.880,0.000,6070,21
